,age,income,children,income_zscore,age_MinMax,income_MinMax,kids_MinMax,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES,age_bins_young,age_bins_mid-age,age_bins_old,id
0,48,17546.0,1,-0.7741680866808346,0.6122448979591837,0.21563448481990038,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,ID12101
1,40,30085.1,3,0.19870630556250168,0.4489795918367347,0.4313947527948036,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,ID12102
2,51,16575.4,0,-0.8494742797179251,0.673469387755102,0.19893337261117403,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12103
3,23,20375.4,3,-0.5546426976646136,0.10204081632653061,0.26431996481513065,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,ID12104
4,57,50576.3,0,1.7885623356074538,0.7959183673469388,0.7839867891552552,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,ID12105
5,57,37869.6,2,0.8026843188503974,0.7959183673469388,0.5653426283241985,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,ID12106
6,22,8877.07,0,-1.4467665989464698,0.08163265306122448,0.06646822409499363,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,ID12107
7,58,24946.6,0,-0.19997582190616706,0.8163265306122449,0.3429765938369007,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,ID12108
8,37,25304.3,2,-0.17222285956393818,0.3877551020408163,0.34913153700304683,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,ID12109
9,54,24212.1,2,-0.25696366322673475,0.7346938775510204,0.33033805384379383,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12110
10,66,59803.9,0,2.504506521543016,0.9795918367346939,0.9427660834239999,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,ID12111
11,52,26658.8,0,-0.06713091801361964,0.6938775510204082,0.3724384157241677,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,ID12112
12,44,15735.8,1,-0.9146165419000201,0.5306122448979592,0.18448637713368926,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,ID12113
13,66,55204.7,1,2.1476672025483867,0.9795918367346939,0.8636276584596743,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,ID12114
14,36,19474.6,0,-0.6245333000629356,0.3673469387755102,0.24881990106320317,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12115
15,38,22342.1,0,-0.40205183650033804,0.40816326530612246,0.29816096768026784,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,ID12116
16,37,17729.8,2,-0.7599075485804666,0.3877551020408163,0.21879713104281806,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,ID12117
17,46,41016.0,0,1.0468048687905394,0.5714285714285714,0.6194827266690746,0.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,ID12118
18,62,26909.2,0,-0.047703068501475,0.8979591836734694,0.3767470480104495,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,ID12119
19,31,22522.8,0,-0.3880318189011187,0.2653061224489796,0.30127027220954544,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12120
20,61,57880.7,2,2.355290706120666,0.8775510204081632,0.9096735849696185,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,ID12121
21,50,16497.3,2,-0.8555338446017051,0.6530612244897959,0.1975895060714032,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12122
22,54,38446.6,0,0.8474521669674396,0.7346938775510204,0.5752710661404308,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12123
23,27,15538.8,0,-0.9299012318117312,0.1836734693877551,0.18109659853785257,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,ID12124
24,22,12640.3,2,-1.1547879003858164,0.08163265306122448,0.1312221149843872,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,ID12125
25,56,41034.0,0,1.0482014394423709,0.7755102040816326,0.6197924526321459,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,ID12126
26,45,20809.7,0,-0.5209465513262576,0.5510204081632653,0.27179296402412495,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12127
27,39,20114.0,1,-0.5749240070195442,0.42857142857142855,0.25982205555141635,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,ID12128
28,39,29359.1,3,0.14237795593863217,0.42857142857142855,0.4189024722842582,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,ID12129
29,61,24270.1,1,-0.25246360223750003,0.8775510204081632,0.33133605972480157,0.3333333333333333,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,ID12130
30,61,22942.9,2,-0.3554374116325406,0.8775510204081632,0.30849893204767237,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,ID12131
31,20,16325.8,2,-0.8688400594233217,0.04081632653061224,0.19463850592325094,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,ID12132
32,45,23443.2,1,-0.3166205062374691,0.5510204081632653,0.3171075931212617,0.3333333333333333,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,ID12133
33,33,29921.3,3,0.1859975126308353,0.30612244897959184,0.42857624653085413,1.0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,ID12134
34,43,37521.9,0,0.7757072290925195,0.5102040816326531,0.5593597551375364,0.0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,ID12135
35,27,19868.0,2,-0.5940104725945743,0.1836734693877551,0.25558913405610756,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,ID12136
36,19,10953.0,3,-1.2857008815433302,0.02040816326530612,0.10218874734603565,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,ID12137
37,36,13381.0,0,-1.097319018062951,0.3673469387755102,0.14396733836477427,0.0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,ID12138
38,43,18504.3,0,-0.6998162169224956,0.5102040816326531,0.23212395095386132,0.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12139
39,66,25391.5,2,-0.16545725062839897,0.9795918367346939,0.3506319872241482,0.6666666666666666,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,ID12140
40,55,26774.2,0,-0.05817734839021107,0.7551020408163265,0.3744241032874142,0.0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,ID12141
41,47,26952.6,0,-0.04433578148539261,0.5918367346938775,0.37749383172141043,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,ID12142
42,67,55716.5,2,2.187376361415462,1.0,0.8724342000096703,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,ID12143
43,32,27571.5,0,0.003682972760079734,0.2857142857142857,0.38814324275168116,0.0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,ID12144
44,20,13740.0,2,-1.0694651922847567,0.04081632653061224,0.15014465062825333,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,ID12145
45,64,52670.6,2,1.9510533309480456,0.9387755102040817,0.8200234049586094,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,ID12146
46,50,13283.9,1,-1.1048527408569975,0.6530612244897959,0.14229653886398366,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,ID12147
47,29,13106.6,2,-1.1186089617775374,0.22448979591836735,0.13924573812773064,0.6666666666666666,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,ID12148
48,52,39547.8,2,0.9328912559561522,0.6938775510204082,0.5942194122812196,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,ID12149
49,47,17867.3,2,-0.7492393005456428,0.5918367346938775,0.2211630932607244,0.6666666666666666,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,ID12150
50,24,14309.7,2,-1.0252637311542903,0.12244897959183673,0.1599474773594623,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,ID12151
51,36,23894.8,0,-0.2815821003281862,0.3673469387755102,0.3248782733947635,0.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,ID12152
52,43,16259.7,1,-0.8739685772058805,0.5102040816326531,0.1935011233588611,0.3333333333333333,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,ID12153
53,48,29794.1,1,0.1761284133578928,0.6122448979591837,0.42638751639181643,0.3333333333333333,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,ID12154
54,63,56842.5,0,2.2747396144133645,0.9183673469387755,0.8918092796995796,0.0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,ID12155
55,52,47835.8,3,1.5759344538661118,0.6938775510204082,0.7368310112776386,1.0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,ID12156
56,58,24977.5,0,-0.1975783756205229,0.8163265306122449,0.3435082900735066,0.0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,ID12157
57,28,23124.9,0,-0.34131653059735567,0.20408163265306123,0.3116306056742829,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,ID12158
58,29,15143.8,0,-0.9605481988935886,0.22448979591836735,0.17429983434823076,0.0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,ID12159
59,34,25334.3,1,-0.16989524181088572,0.32653061224489793,0.34964774694149914,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,ID12160
60,42,24763.3,1,-0.21419756637731752,0.4897959183673469,0.3398225511129572,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,ID12161
61,65,36589.0,1,0.7033260756984314,0.9591836734693877,0.5433073467514651,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,ID12162
62,47,27022.6,2,-0.038904673394936876,0.5918367346938775,0.3786983215777991,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12163
63,20,11700.4,0,-1.22771216458895,0.04081632653061224,0.11504925761267701,0.0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,ID12164
64,21,5014.21,0,-1.7464753160650106,0.061224489795918366,0.0,0.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,ID12165
65,42,17390.1,0,-0.786263940270864,0.4897959183673469,0.2129519138397433,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12166
66,19,10861.0,2,-1.2928389093193577,0.02040816326530612,0.10060570353478197,0.6666666666666666,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,ID12167
67,41,34892.9,0,0.571730326666689,0.46938775510204084,0.5141225575311675,0.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12168
68,30,19403.1,2,-0.630080789041044,0.24489795918367346,0.2475896007098919,0.6666666666666666,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,ID12169
69,31,10441.9,2,-1.3253557293295004,0.2653061224489796,0.09339425069460348,0.6666666666666666,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,ID12170
70,25,14064.9,3,-1.0442570920191985,0.14285714285714285,0.15573520426169157,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,ID12171
71,21,8062.73,0,-1.5099490069804946,0.061224489795918366,0.05245587738568573,0.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,ID12172
72,36,31982.0,3,0.3458815760880088,0.3673469387755102,0.4640347072031419,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,ID12173
73,58,23197.5,2,-0.33568369563496886,0.8163265306122449,0.31287983372533745,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,ID12174
74,64,52674.0,2,1.9513171276267252,0.9387755102040817,0.820081908751634,0.6666666666666666,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,ID12175
75,59,35610.5,2,0.6274069433197037,0.8367346938775511,0.5264702992589463,0.6666666666666666,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,ID12176
76,45,26948.0,0,-0.04469268287419388,0.5510204081632653,0.3774146795308478,0.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12177
77,61,49456.7,1,1.7016956410635355,0.8775510204081632,0.7647218342522156,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,ID12178
78,30,14724.5,0,-0.9930805363554184,0.24489795918367346,0.16708494010846262,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,ID12179
79,58,34524.9,2,0.5431782155625788,0.8163265306122449,0.5077903822861528,0.6666666666666666,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,ID12180
80,50,22052.1,3,-0.4245521414465118,0.6530612244897959,0.293170938275229,1.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,ID12181
81,30,27808.1,3,0.022040118105820017,0.24489795918367346,0.39221441846627486,1.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,ID12182
82,29,12591.4,1,-1.1585819173232919,0.22448979591836735,0.13038069278470998,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,ID12183
83,35,16394.4,1,-0.863517573494675,0.3469387755102041,0.1958189059825119,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,ID12184
84,62,24026.1,0,-0.27139489329566,0.8979591836734694,0.32713755222538965,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,ID12185
85,36,31683.1,1,0.32269074454176266,0.3673469387755102,0.4588915355163622,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,ID12186
86,25,15525.0,0,-0.9309719359781353,0.14285714285714285,0.1808591419661645,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,ID12187
87,66,22562.2,0,-0.38497488091877635,0.9795918367346939,0.30194822792871284,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,ID12188
88,30,15848.7,0,-0.9058569404226992,0.24489795918367346,0.18642904720206474,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,ID12189
89,54,31095.6,2,0.277108230211152,0.7346938775510204,0.4487824242216715,0.6666666666666666,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,ID12190
90,37,24814.5,1,-0.21022509874544126,0.3877551020408163,0.3407035494079158,0.3333333333333333,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,ID12191
91,28,25429.3,2,-0.16252445225955292,0.20408163265306123,0.3512824117465981,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,ID12192
92,53,34866.5,0,0.5696820230440027,0.7142857142857143,0.5136682927853294,0.0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,ID12193
93,61,42579.1,2,1.1680815124504158,0.8775510204081632,0.6463789851622336,0.6666666666666666,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,ID12194
94,61,41127.4,0,1.0554480893802076,0.8775510204081632,0.6213995862405274,0.0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,ID12195
95,18,9990.11,0,-1.3604088768178861,0.0,0.0856203010914915,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,ID12196
96,22,7948.62,1,-1.5188024890405218,0.08163265306122448,0.050492386849792716,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,ID12197
97,34,30870.8,2,0.25966661451494566,0.32653061224489793,0.44491429108286906,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,ID12198
98,35,12125.8,2,-1.194706544850666,0.3469387755102041,0.12236911453993046,0.6666666666666666,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12199
99,18,15348.9,0,-0.9446350521885533,0.0,0.17782898962744956,0.0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,ID12200
100,54,26707.9,1,-0.06332138362445695,0.7346938775510204,0.37328327932343464,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,ID12201
101,27,11604.4,2,-1.2351605413987177,0.1836734693877551,0.11339738580962969,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,ID12202
102,42,15499.9,0,-0.9329193761648559,0.4897959183673469,0.1804272463176594,0.0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,ID12203
103,43,33088.5,0,0.431731877546427,0.5102040816326531,0.48307425043305713,0.0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,ID12204
104,64,34513.6,1,0.5423014795422623,0.9387755102040817,0.5075959432093357,0.3333333333333333,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,ID12205
105,43,32395.5,3,0.3779639074509152,0.5102040816326531,0.4711498008548093,1.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,ID12206
106,49,46633.0,0,1.4826124994203949,0.6326530612244898,0.7161344341452914,0.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,ID12207
107,23,13039.9,0,-1.1237840319151575,0.10204081632653061,0.13809803136457172,0.0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,ID12208
108,23,12681.9,0,-1.1515602704349168,0.10204081632653061,0.13193792609904106,0.0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,ID12209
109,30,24031.5,2,-0.27097592210011046,0.24489795918367346,0.3272304700143111,0.6666666666666666,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,ID12210
110,36,37330.5,2,0.7608570278280448,0.3673469387755102,0.5560663357302108,0.6666666666666666,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,ID12211
111,34,25333.2,3,-0.1699805877951642,0.32653061224489793,0.34962881924375594,1.0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,ID12212
112,51,37094.2,0,0.7425231586598346,0.673469387755102,0.5520003221150016,0.0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,ID12213
113,36,33630.6,2,0.47379193034408484,0.3673469387755102,0.49240216402089,0.6666666666666666,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,ID12214
114,56,43228.2,1,1.2184434019006274,0.7755102040816326,0.6575480475305463,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,ID12215
115,54,47796.8,0,1.5729085507871434,0.7346938775510204,0.7361599383576506,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,ID12216
116,56,21730.3,2,-0.44951972121092115,0.7755102040816326,0.28763372633543083,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,ID12217
